Wall time,Step,Value
1773837328.8097332,4,0.0
1773837370.405382,5,0.0
1773837606.680227,11,0.0
1773837769.721256,15,0.0
1773837807.094553,16,0.0
1773837924.8968174,19,0.0
1773837984.3899786,20,1.0
1773838025.2095413,21,1.0
1773838102.8398,23,0.0
1773838135.0978582,24,0.0
1773838255.6733768,27,0.0
1773838344.4930353,29,0.0
1773838740.5834808,39,0.0
1773838835.6985836,41,2.0
1773839091.3487146,48,0.0
1773839123.9033244,49,0.0
1773839156.4019508,50,0.0
1773839254.0364041,53,0.0
1773839319.172953,55,0.0
1773839435.6836407,58,0.0
1773839538.4212399,61,0.0
1773839577.1843472,62,1.0
1773839614.960033,63,0.0
1773839657.290172,64,0.0
1773839732.906994,66,0.0
1773839765.3644013,67,0.0
1773839797.7856846,68,0.0
1773839830.252327,69,0.0
1773839911.8366718,71,2.0
1773839956.5299132,72,2.0
1773840193.5070748,78,0.0
1773840273.6558604,80,0.0
1773840381.744644,83,0.0
1773840486.9984567,86,0.0
1773840685.0573568,91,1.0
1773841098.3819954,101,0.0
1773841243.9249105,104,1.0
1773841390.7054417,107,0.0
1773841441.7054794,108,0.0
1773841694.8274124,115,0.0
1773841819.0234182,118,0.0
1773841993.4372716,122,1.0
1773842164.7692764,126,1.0
1773842216.0496564,127,1.0
1773842346.6134336,130,0.0
1773842382.1366847,131,0.0
1773842631.8919299,137,0.0
1773842669.8494802,138,0.0
1773842974.0083916,146,0.0
1773843009.6422327,147,0.0
1773843055.8452094,148,3.0
1773843193.791115,151,0.0
1773843470.8958986,158,1.0
1773843583.5126987,161,0.0
1773843660.7747855,163,0.0
1773843738.3787403,165,0.0
1773844018.909942,171,0.0
1773844061.7838068,172,0.0
1773844241.1727586,176,0.0
1773844327.4707716,178,0.0
1773844608.5626605,183,1.0
1773844704.0360377,185,1.0
1773844758.0197556,186,0.0
1773844954.6131003,190,0.0
1773845016.3865435,191,0.0
1773845056.7677662,192,0.0
1773845093.6672893,193,1.0
1773845378.5096097,200,0.0
1773845490.0659173,203,0.0
1773845531.8096175,204,0.0
1773845602.6647837,205,0.0
1773845654.329345,206,0.0
1773845773.6904836,208,0.0
1773846036.909986,212,0.0
1773846123.0838897,214,0.0
1773846209.7498655,216,0.0
1773846390.5523293,220,0.0
1773846427.0902543,221,0.0
1773846471.7071943,222,1.0
1773846596.7401254,225,0.0
1773847318.6100705,238,0.0
1773847623.0323944,243,1.0
1773847724.5363674,245,0.0
1773847787.7907488,246,2.0
1773847824.2192984,247,0.0
1773848386.775402,258,0.0
1773848446.530994,259,1.0
1773848493.0347373,260,0.0
1773848851.8197773,269,0.0
1773848989.9663954,272,1.0
1773849140.0783799,275,0.0
1773849240.967342,277,0.0
1773849403.2754388,280,1.0
1773849516.396908,282,2.0
1773849627.2131922,284,1.0
1773849840.19032,288,2.0
1773849879.7392888,289,1.0
1773849959.9645295,291,0.0
1773850265.118986,297,3.0
1773850309.7931561,298,1.0
1773850372.7157097,299,0.0
1773850874.9723997,308,0.0
1773850999.0087352,310,1.0
1773851249.7412214,313,0.0
1773851503.7097309,317,2.0
1773851636.1614742,319,1.0
1773851845.3877954,322,1.0
1773852467.313689,331,3.0
1773852873.1575043,338,1.0
1773853107.4636407,341,0.0
1773853473.5881245,345,0.0
1773853543.081164,346,2.0
1773853946.6256292,351,1.0
1773854074.682185,353,3.0
1773854265.8085525,356,2.0
1773854596.0040255,361,4.0
1773854739.55269,363,4.0
1773854817.7250066,364,5.0
1773854879.0725183,365,1.0
1773854934.6732519,366,2.0
1773855025.635527,367,2.0
1773855785.384629,378,2.0
1773856430.2053163,386,1.0
1773856793.7133765,390,2.0
1773856983.2163594,392,1.0
1773857212.8323138,394,4.0
1773857312.4869223,395,5.0
1773857926.121475,402,4.0
1773858076.914995,404,1.0
1773858524.951047,409,3.0
1773858861.4022582,413,8.0
1773858960.9422498,414,6.0
1773859046.0736966,415,4.0
1773859425.4671855,419,3.0
1773859697.9657328,422,2.0
1773859806.7850602,423,2.0
1773860114.5386703,426,0.0
1773860231.1858542,427,0.0
1773860721.2979624,432,0.0
1773861107.6887946,436,1.0
1773861231.4237783,437,0.0
1773861446.3014197,439,1.0
1773861757.2604468,442,2.0
1773861946.4949093,444,1.0
1773862140.437622,446,4.0
1773862233.5483937,447,3.0
1773862697.784294,452,1.0
1773862997.404393,455,2.0
1773863157.1370747,457,1.0
1773863558.4444022,461,1.0
1773863714.4205813,463,0.0
1773863950.6324716,466,0.0
1773864074.0577307,467,0.0
1773864362.4868577,470,1.0
1773864756.251407,474,2.0
1773864840.8349879,475,2.0
1773865097.4550967,479,2.0
1773865212.0080292,481,2.0
1773865384.5658848,484,1.0
1773865597.4034626,487,2.0
1773865691.1519883,488,0.0
1773865741.1313593,489,2.0
1773865813.3423073,490,1.0
1773865941.691607,492,1.0
1773866531.3721774,500,2.0
1773866671.7621949,502,1.0
1773866781.3778086,503,3.0
1773867370.9044712,509,0.0
1773867458.9444003,510,2.0
1773867548.6045117,511,1.0
1773867651.195823,512,0.0
1773867742.957248,513,3.0
1773867830.995148,514,3.0
1773868031.9260583,517,1.0
1773868105.312498,518,2.0
1773868180.498225,519,1.0
1773868510.760315,522,2.0
1773869388.412219,531,2.0
1773869703.5883374,534,7.0
1773869870.4879527,536,1.0
1773869925.4156103,537,1.0
1773870038.9434988,539,1.0
1773870105.3845866,540,0.0
1773870278.3207762,543,0.0
1773870321.4526522,544,0.0
1773870375.1784668,545,0.0
1773870460.8472347,547,0.0
1773870515.8239768,548,1.0
1773870901.8130112,554,0.0
1773870950.080599,555,1.0
1773871020.641219,556,1.0
1773871101.7386122,557,1.0
1773871599.8562882,563,1.0
1773871739.424313,565,2.0
1773872047.376303,569,4.0
1773872118.677941,570,4.0
1773872211.2194533,572,1.0
1773872431.3804827,576,1.0
1773872579.0740795,578,2.0
1773872791.4634078,581,1.0
1773873152.3066328,586,2.0
1773873445.1851444,589,2.0
1773873546.2785137,590,6.0
1773873786.96374,592,1.0
1773873979.106206,594,2.0
1773874294.0320833,597,2.0
1773874385.351804,598,2.0
1773874612.768854,600,3.0
1773874845.9679387,602,7.0
1773875166.3961456,605,2.0
1773875724.3998559,610,4.0
1773875821.9277754,611,4.0
1773876087.7384863,614,9.0
1773876350.9193609,617,4.0
1773876646.499507,620,4.0
1773876752.0586162,621,14.0
1773877041.4439807,624,4.0
1773877371.138458,627,11.0
1773877472.0768611,628,0.0
1773877577.5201225,629,1.0
1773878204.6069095,634,5.0
1773878476.5899658,636,9.0
1773878754.4453838,638,10.0
1773879125.2017772,641,6.0
1773879253.3506246,642,8.0
1773879381.8706138,643,8.0
1773879669.8277404,645,10.0
1773879762.5662158,646,2.0
1773880185.1484222,650,4.0
1773880535.1794515,653,10.0
1773880651.3506873,654,6.0
1773880752.2121518,655,2.0
1773881239.0279865,659,11.0
1773881358.8803205,660,12.0
1773883537.1769216,661,4.0
1773884544.0218282,668,12.0
1773885264.0479455,673,11.0
1773886345.9805608,681,9.0
1773886572.7155526,683,15.0
1773886657.0334992,684,1.0
1773886839.204471,686,3.0
1773887231.867045,693,0.0
1773887311.6761272,695,0.0
1773887359.7145607,696,1.0
1773887409.0900886,697,1.0
1773887590.9568236,701,1.0
1773887707.5125945,703,0.0
1773888090.2864563,709,2.0
1773888214.7421985,711,3.0
1773888404.92188,714,3.0
1773888759.491439,718,3.0
1773888942.7224166,720,3.0
1773889038.3410332,721,3.0
1773889165.9768326,722,5.0
1773889448.0817926,725,1.0
1773889659.284926,727,5.0
1773889743.6714709,728,6.0
1773889815.8542984,729,1.0
1773889975.317655,731,4.0
1773890053.1529536,732,4.0
1773890154.8519158,733,3.0
1773890692.706519,740,1.0
1773890889.846663,743,3.0
1773891998.4365945,754,5.0
1773892239.423291,756,3.0
1773892538.218888,759,6.0
1773893095.1052227,765,3.0
1773893286.9889252,767,5.0
1773893391.6029403,768,4.0
1773893722.1360128,771,2.0
1773893935.4028597,773,3.0
1773894042.802373,774,3.0
1773894211.2996314,776,1.0
1773894404.6303504,778,1.0
1773894547.1684568,779,5.0
1773894664.069957,780,3.0
1773894987.7111986,783,3.0
1773895527.2592578,788,2.0
1773896388.9632463,796,4.0
1773896851.0885475,800,6.0
1773896948.19694,801,5.0
1773897317.4293509,805,2.0
1773897416.7450428,806,2.0
1773897774.335591,809,6.0
1773897977.8401697,811,3.0
1773898942.9944277,819,8.0
1773899788.6669638,826,2.0
1773899907.7729316,827,6.0
1773900036.6822624,828,3.0
1773900419.279957,831,7.0
1773900736.0720217,833,7.0
1773901078.7512414,836,2.0
1773901216.125574,837,6.0
1773901629.822481,840,8.0
1773901779.1731627,841,9.0
1773902065.2926054,843,4.0
1773902695.8166974,848,4.0
1773903138.6233957,851,6.0
1773903285.1067395,852,11.0
1773904256.0291066,859,3.0
1773904507.479463,861,9.0
1773904641.9651558,862,10.0
1773904760.0660942,863,10.0
1773905073.3343937,866,4.0
1773905613.3081086,870,12.0
1773907344.7716742,883,11.0
1773907605.0587728,885,2.0
1773907756.6290329,886,14.0
1773907884.9477057,887,5.0
1773908131.8466775,890,5.0
1773908167.2715578,891,0.0
1773908374.0474474,893,13.0
1773908770.1655576,896,8.0
1773909205.7736757,899,7.0
1773909571.421325,902,6.0
1773909972.6987824,905,5.0
1773910232.845133,907,7.0
1773910373.022484,908,10.0
1773910712.6536865,911,3.0
1773910974.5225556,914,6.0
1773911095.2428086,915,5.0
1773911481.7723281,918,13.0
1773911838.8038316,921,10.0
1773912746.5546944,927,12.0
1773913102.3454454,930,11.0
1773913384.1441908,932,12.0
1773913532.3506155,933,13.0
1773913683.2892733,934,13.0
1773913971.3856816,936,8.0
1773914530.2328503,941,5.0
1773914735.7771974,944,3.0
1773915161.738803,950,1.0
1773915327.3694284,953,2.0
1773915788.5083504,960,1.0
1773915892.2105794,962,1.0
1773915949.647,963,2.0
1773916020.5331814,964,2.0
1773916250.484789,968,0.0
1773916619.9085424,973,1.0
1773917078.1900845,978,4.0
1773917187.3471735,979,10.0
1773917387.5244412,981,11.0
1773917891.9111922,987,4.0
1773918241.976606,990,10.0
1773918373.1307247,991,11.0
1773918662.65559,993,6.0
1773918905.1640415,995,5.0
1773919120.9275825,997,10.0
1773919330.7329082,999,4.0
1773919608.3635156,1002,1.0
1773919703.1230085,1003,8.0
1773919814.8579094,1004,8.0
1773919938.7496402,1005,12.0
1773920283.3403594,1008,10.0
1773921161.136202,1015,7.0
1773921277.175947,1016,4.0
1773921938.8242805,1021,3.0
1773922658.3634837,1026,5.0
1773922799.2850327,1027,10.0
1773923153.3550541,1029,11.0
1773923625.1822722,1032,12.0
1773924367.6032398,1036,14.0
1773924745.0347397,1038,21.0
1773925064.2013607,1040,3.0
1773926424.4501584,1049,14.0
1773927071.5776381,1053,9.0
1773927190.853836,1054,7.0
1773927763.1388013,1057,19.0
1773928220.709564,1060,12.0
1773928390.6886225,1061,11.0
1773928890.3436048,1064,21.0
1773929198.6413178,1066,12.0
1773929286.7115598,1067,2.0
1773929554.3659792,1069,11.0
1773929744.0354302,1070,17.0
1773929913.2265935,1071,16.0
1773930461.6771424,1074,16.0
1773931102.5586202,1078,5.0
1773931273.1549697,1079,19.0
1773931611.711204,1081,10.0
1773931774.6784616,1082,17.0
1773932137.8542013,1084,21.0
1773933033.086049,1089,14.0
1773933519.4052606,1092,10.0
1773933677.3693142,1093,15.0
1773933871.5145855,1094,17.0
1773934801.414444,1099,15.0
1773935122.3386316,1101,21.0
1773935634.6354434,1104,2.0
1773936443.7012842,1108,14.0
1773936578.555226,1109,12.0
1773936901.361831,1111,21.0
1773937181.0803058,1113,2.0
1773937423.2072515,1114,20.0
1773937570.038487,1115,6.0
1773938135.734283,1118,11.0
1773938641.870164,1121,20.0
1773938855.4686763,1123,5.0
1773939487.7329898,1127,21.0
1773940024.4151495,1130,10.0
1773940208.6589181,1131,13.0
1773940347.6324363,1132,10.0
