Wall time,Step,Value
1773837328.809679,4,764.0
1773837370.405323,5,1004.0
1773837606.680148,11,884.0
1773837769.721202,15,824.0
1773837807.094479,16,826.0
1773837924.896743,19,884.0
1773837984.389912,20,1343.0
1773838025.2094803,21,979.0
1773838102.8397398,23,764.0
1773838135.0977929,24,764.0
1773838255.6733108,27,885.0
1773838344.4929664,29,885.0
1773838740.5834193,39,826.0
1773838835.6985276,41,1199.0
1773839091.3486545,48,764.0
1773839123.9032507,49,764.0
1773839156.4018922,50,764.0
1773839254.0363255,53,764.0
1773839319.172889,55,764.0
1773839435.6835806,58,764.0
1773839538.4211848,61,824.0
1773839577.1842842,62,920.0
1773839614.9599597,63,886.0
1773839657.2900815,64,944.0
1773839732.9069338,66,764.0
1773839765.3643398,67,764.0
1773839797.7856061,68,764.0
1773839830.2522404,69,764.0
1773839911.8366075,71,1137.0
1773839956.5298455,72,1076.0
1773840193.507016,78,887.0
1773840273.6558003,80,1009.0
1773840381.744585,83,825.0
1773840486.9983838,86,826.0
1773840685.0572915,91,980.0
1773841098.3819273,101,1127.0
1773841243.924852,104,1042.0
1773841390.7053683,107,1006.0
1773841441.7054203,108,1132.0
1773841694.8273518,115,825.0
1773841819.0233505,118,1007.0
1773841993.437211,122,1104.0
1773842164.7692156,126,981.0
1773842216.0495908,127,1165.0
1773842346.6133752,130,1065.0
1773842382.1366222,131,824.0
1773842631.8918676,137,824.0
1773842669.8494105,138,884.0
1773842974.0083365,146,824.0
1773843009.6421478,147,824.0
1773843055.8451247,148,1113.0
1773843193.7910466,151,1006.0
1773843470.8958364,158,860.0
1773843583.5126143,161,885.0
1773843660.774724,163,884.0
1773843738.3786736,165,948.0
1773844018.9098752,171,945.0
1773844061.7837486,172,1009.0
1773844241.1726959,176,888.0
1773844327.470704,178,1010.0
1773844608.562594,183,1346.0
1773844704.0359757,185,1103.0
1773844758.0196736,186,1187.0
1773844954.6130428,190,1068.0
1773845016.3864663,191,1378.0
1773845056.767685,192,946.0
1773845093.6672337,193,860.0
1773845378.5095267,200,824.0
1773845490.0658536,203,886.0
1773845531.8095536,204,950.0
1773845602.6647172,205,1570.0
1773845654.329282,206,1134.0
1773845773.6904182,208,1009.0
1773846036.909923,212,1074.0
1773846123.083823,214,826.0
1773846209.749781,216,1134.0
1773846390.5522687,220,1136.0
1773846427.0901859,221,824.0
1773846471.7071316,222,985.0
1773846596.7400584,225,1074.0
1773847318.6100109,238,1068.0
1773847623.0323372,243,1408.0
1773847724.536309,245,945.0
1773847787.7906644,246,1376.0
1773847824.219238,247,824.0
1773848386.7753441,258,947.0
1773848446.5309267,259,1348.0
1773848493.0346694,260,1068.0
1773848851.819698,269,886.0
1773848989.9663305,272,983.0
1773849140.0783203,275,1128.0
1773849240.967276,277,1194.0
1773849403.2753763,280,1164.0
1773849516.3968492,282,1262.0
1773849627.2131257,284,1468.0
1773849840.190258,288,1323.0
1773849879.7392263,289,921.0
1773849959.964449,291,1008.0
1773850265.118926,297,1291.0
1773850309.7930918,298,1044.0
1773850372.7156463,299,1374.0
1773850874.9723134,308,1432.0
1773850999.0086732,310,1283.0
1773851249.7411468,313,1561.0
1773851503.7096703,317,1378.0
1773851636.1614141,319,1286.0
1773851845.387737,322,1590.0
1773852467.3136263,331,1727.0
1773852873.1574469,338,1407.0
1773853107.4635754,341,1930.0
1773853473.5880623,345,1744.0
1773853543.0811002,346,1570.0
1773853946.6255653,351,1777.0
1773854074.6821163,353,1598.0
1773854265.8084838,356,1624.0
1773854596.0039597,361,1268.0
1773854739.5526223,363,1393.0
1773854817.7249384,364,1795.0
1773854879.0724552,365,1347.0
1773854934.6731894,366,1263.0
1773855025.6354656,367,1990.0
1773855785.3845603,378,1686.0
1773856430.2052536,386,1909.0
1773856793.7133129,390,1927.0
1773856983.2162988,392,1533.0
1773857212.832244,394,2740.0
1773857312.4868586,395,2220.0
