Wall time,Step,Value
1775413457.287812,3001,17.0
1775413489.0824733,3002,21.0
1775413515.057447,3003,3.0
1775413559.268357,3004,16.0
1775413601.1410217,3005,8.0
1775413644.3538685,3006,21.0
1775413678.180943,3007,21.0
1775413703.4485931,3008,4.0
1775413735.527624,3009,21.0
1775413767.5842042,3010,7.0
1775413800.5123281,3011,9.0
1775413835.0319078,3012,14.0
1775413866.1572485,3013,21.0
1775413893.0895984,3014,21.0
1775413927.67859,3015,5.0
1775413952.3913126,3016,21.0
1775413984.662497,3017,10.0
1775414019.4203389,3018,21.0
1775414057.8888047,3019,21.0
1775414096.9898684,3020,21.0
1775414120.2528834,3021,2.0
1775414149.631919,3022,7.0
1775414171.4897144,3023,21.0
1775414192.272339,3024,2.0
1775414218.1574152,3025,6.0
1775414250.8173883,3026,10.0
1775414280.3454032,3027,8.0
1775414306.2495778,3028,6.0
1775414333.8918958,3029,2.0
1775414382.8960848,3030,21.0
1775414415.5947742,3031,14.0
1775414446.9967184,3032,21.0
1775414481.0690572,3033,21.0
1775414518.6287837,3034,8.0
1775414549.5556047,3035,10.0
1775414592.9428947,3036,21.0
1775414611.884207,3037,1.0
1775414637.0485842,3038,21.0
1775414685.0204363,3039,17.0
1775414726.933287,3040,21.0
1775414764.1436765,3041,21.0
1775414811.0146437,3042,18.0
1775414841.0068257,3043,21.0
1775414879.0359094,3044,14.0
1775414925.0048964,3045,21.0
1775414962.795531,3046,21.0
1775415001.8315592,3047,8.0
1775415034.023808,3048,21.0
1775415070.1338282,3049,11.0
1775415098.5193188,3050,3.0
1775415129.397446,3051,3.0
1775415173.3474252,3052,21.0
1775415218.3147416,3053,19.0
1775415256.671998,3054,21.0
1775415300.998808,3055,21.0
1775415325.1970289,3056,21.0
1775415377.4900134,3057,20.0
1775415419.5934358,3058,21.0
1775415456.6731923,3059,21.0
1775415488.1875536,3060,21.0
1775415534.4676316,3061,11.0
1775415585.425355,3062,20.0
1775415633.8369162,3063,21.0
1775415680.8218737,3064,18.0
1775415728.8576448,3065,21.0
1775415769.8492131,3066,16.0
1775415817.6123095,3067,21.0
1775415874.8140326,3068,19.0
1775415928.0171003,3069,21.0
1775415966.1820097,3070,21.0
1775416000.3498912,3071,7.0
1775416045.0888317,3072,21.0
1775416100.886974,3073,21.0
1775416128.4474368,3074,3.0
1775416178.9722602,3075,21.0
1775416210.526662,3076,21.0
1775416263.823305,3077,20.0
1775416328.1947405,3078,21.0
1775416375.16689,3079,21.0
1775416419.2483253,3080,21.0
1775416459.1213486,3081,21.0
1775416511.2328007,3082,21.0
1775416539.6799452,3083,21.0
1775416598.7748673,3084,21.0
1775416655.2385051,3085,21.0
1775416704.793858,3086,20.0
1775416740.7259357,3087,21.0
1775416779.7070873,3088,9.0
1775416817.8792055,3089,21.0
1775416863.6551719,3090,14.0
1775416916.6618617,3091,21.0
1775416955.3033013,3092,12.0
1775417003.0209394,3093,12.0
1775417034.66106,3094,7.0
1775417077.9841068,3095,21.0
1775417136.507663,3096,21.0
1775417186.9333587,3097,14.0
1775417208.682778,3098,2.0
1775417240.6864698,3099,21.0
1775417276.5839427,3100,11.0
1775417319.843332,3101,13.0
1775417365.6242752,3102,17.0
1775417400.85638,3103,21.0
1775417434.3460624,3104,9.0
1775417470.4484766,3105,12.0
1775417504.7499275,3106,8.0
1775417547.5362248,3107,21.0
1775417578.7789118,3108,6.0
1775417615.486612,3109,16.0
1775417643.6792338,3110,3.0
1775417692.3290606,3111,21.0
1775417722.4889486,3112,8.0
1775417758.3976464,3113,9.0
1775417796.876436,3114,11.0
1775417824.4615817,3115,21.0
1775417865.7328732,3116,13.0
1775417896.4638548,3117,6.0
1775417928.3670168,3118,7.0
1775417967.3693507,3119,12.0
1775417988.646468,3120,2.0
1775418019.4318104,3121,9.0
1775418054.8505664,3122,15.0
1775418088.9105148,3123,12.0
1775418114.4583447,3124,21.0
1775418152.1998181,3125,15.0
1775418185.9266121,3126,10.0
1775418216.0979052,3127,7.0
1775418252.4592528,3128,10.0
1775418283.1672468,3129,9.0
1775418327.2940657,3130,19.0
1775418358.5520842,3131,9.0
1775418391.9766805,3132,21.0
1775418420.860231,3133,4.0
1775418452.709173,3134,8.0
1775418478.001592,3135,5.0
1775418497.181484,3136,1.0
1775418518.6632285,3137,2.0
1775418542.0610452,3138,3.0
1775418581.9935677,3139,13.0
1775418618.806643,3140,10.0
1775418643.7600768,3141,4.0
1775418678.5323615,3142,11.0
1775418712.664626,3143,8.0
1775418761.5199609,3144,20.0
1775418786.5338144,3145,2.0
1775418828.3324068,3146,16.0
1775418863.820338,3147,9.0
1775418894.2547824,3148,5.0
1775418926.6566799,3149,6.0
1775418964.6215374,3150,11.0
1775419015.8607585,3151,21.0
1775419041.8376415,3152,3.0
1775419078.6347182,3153,11.0
1775419115.6515398,3154,12.0
1775419140.0860996,3155,3.0
1775419182.439615,3156,21.0
1775419229.4031286,3157,13.0
1775419274.095764,3158,21.0
1775419317.585725,3159,21.0
1775419362.5179284,3160,14.0
1775419390.6108263,3161,2.0
1775419426.9423134,3162,12.0
1775419465.1806371,3163,21.0
1775419502.1148036,3164,21.0
1775419534.2371292,3165,21.0
1775419572.8654883,3166,10.0
1775419617.4515684,3167,19.0
1775419659.8461552,3168,17.0
1775419701.085551,3169,19.0
1775419743.0217166,3170,11.0
1775419779.301488,3171,7.0
1775419812.3829818,3172,21.0
1775419843.6050622,3173,5.0
1775419884.8903317,3174,21.0
1775419915.6432662,3175,21.0
1775419954.9697616,3176,21.0
1775419994.7479901,3177,12.0
1775420025.1373177,3178,21.0
1775420068.4895585,3179,21.0
1775420092.3206367,3180,21.0
1775420117.491855,3181,21.0
1775420161.3037271,3182,20.0
1775420193.8433526,3183,21.0
1775420232.0536103,3184,21.0
1775420271.6884341,3185,21.0
1775420301.6554315,3186,21.0
1775420324.3526077,3187,21.0
1775420345.2972791,3188,21.0
1775420387.5416367,3189,21.0
1775420432.454843,3190,21.0
1775420468.169801,3191,8.0
1775420492.0951533,3192,21.0
1775420532.3560417,3193,16.0
1775420567.146677,3194,21.0
1775420597.2891843,3195,4.0
1775420632.2303638,3196,21.0
1775420681.9090886,3197,21.0
1775420732.2640612,3198,21.0
1775420780.959325,3199,21.0
1775420843.2282672,3200,19.0
1775420894.2153301,3201,17.0
1775420938.6293094,3202,11.0
1775420978.8088655,3203,12.0
1775421028.051203,3204,17.0
1775421063.568462,3205,7.0
1775421105.0991619,3206,10.0
1775421134.6852372,3207,5.0
1775421180.022558,3208,19.0
1775421220.0571718,3209,15.0
1775421248.4519575,3210,9.0
1775421287.2109952,3211,10.0
1775421321.179032,3212,21.0
1775421375.4044516,3213,19.0
1775421411.918481,3214,21.0
1775421448.736445,3215,21.0
1775421480.1979017,3216,21.0
1775421516.912832,3217,21.0
1775421573.6517596,3218,20.0
1775421599.1067858,3219,21.0
1775421646.9258356,3220,21.0
1775421698.1616013,3221,17.0
1775421741.8332505,3222,21.0
1775421773.3076458,3223,21.0
1775421807.7706206,3224,21.0
1775421842.752843,3225,21.0
1775421881.2227614,3226,9.0
1775421920.7497761,3227,21.0
1775421980.5865364,3228,19.0
1775422025.6118371,3229,21.0
1775422074.6043441,3230,21.0
1775422126.2333786,3231,21.0
1775422174.9810798,3232,14.0
1775422222.4970286,3233,21.0
1775422266.6156242,3234,21.0
1775422308.0814476,3235,21.0
1775422357.5416064,3236,21.0
1775422393.2902906,3237,6.0
1775422446.2596905,3238,20.0
1775422500.6070826,3239,21.0
1775422546.7888882,3240,21.0
1775422593.4815276,3241,21.0
1775422648.65141,3242,21.0
1775422693.0970232,3243,21.0
1775422737.939132,3244,9.0
1775422792.3008928,3245,19.0
1775422851.002433,3246,18.0
1775422885.4715366,3247,21.0
1775422933.8513286,3248,21.0
1775422971.182639,3249,21.0
1775423005.2032394,3250,21.0
1775423038.8353944,3251,21.0
1775423094.586346,3252,21.0
1775423138.014273,3253,21.0
1775423185.1676257,3254,17.0
1775423230.3431683,3255,21.0
1775423271.6692135,3256,21.0
1775423323.353054,3257,21.0
1775423365.5780778,3258,21.0
1775423411.9734051,3259,21.0
1775423462.9813018,3260,21.0
1775423511.5007038,3261,21.0
1775423548.4298792,3262,10.0
1775423606.635905,3263,21.0
1775423657.578908,3264,21.0
1775423697.0676796,3265,21.0
1775423747.5595272,3266,21.0
1775423788.6301951,3267,21.0
1775423835.3005693,3268,21.0
1775423884.6768892,3269,21.0
1775423922.45405,3270,21.0
1775423976.3058908,3271,20.0
1775424022.2806966,3272,21.0
1775424067.8851852,3273,21.0
1775424113.4283986,3274,21.0
1775424163.7730055,3275,21.0
1775424215.4351933,3276,17.0
1775424276.8858788,3277,18.0
1775424314.18937,3278,21.0
1775424370.6573532,3279,15.0
1775424408.9215612,3280,21.0
1775424464.4275007,3281,18.0
1775424518.1612294,3282,21.0
1775424575.9424934,3283,20.0
1775424615.542227,3284,11.0
1775424661.1511996,3285,14.0
1775424708.9664347,3286,21.0
1775424755.5807605,3287,21.0
1775424811.3724232,3288,20.0
1775424865.015651,3289,12.0
1775424917.4764874,3290,21.0
1775424972.0814128,3291,21.0
1775425021.842558,3292,15.0
1775425066.4599574,3293,14.0
1775425106.694628,3294,21.0
1775425154.3956754,3295,21.0
1775425208.989276,3296,19.0
1775425262.2053847,3297,20.0
1775425304.7677152,3298,16.0
1775425340.3588452,3299,21.0
1775425376.903146,3300,21.0
1775425412.276246,3301,21.0
1775425453.8837852,3302,13.0
1775425503.5868757,3303,15.0
1775425547.803894,3304,10.0
1775425612.3688314,3305,20.0
1775425665.749828,3306,21.0
1775425707.2839158,3307,21.0
1775425746.6407542,3308,11.0
1775425793.3491476,3309,21.0
1775425827.39199,3310,21.0
1775425874.366282,3311,21.0
1775425906.5393198,3312,21.0
1775425952.2651825,3313,21.0
1775426005.3189826,3314,21.0
1775426033.6214054,3315,21.0
1775426081.8548117,3316,21.0
1775426132.075418,3317,21.0
1775426183.0088305,3318,21.0
1775426238.6330154,3319,21.0
1775426269.5065439,3320,21.0
1775426322.1518211,3321,21.0
1775426379.8295195,3322,21.0
1775426442.1010365,3323,18.0
1775426495.1393516,3324,17.0
1775426530.7625494,3325,21.0
1775426583.053355,3326,21.0
1775426628.618599,3327,12.0
1775426690.385686,3328,17.0
1775426753.396326,3329,21.0
1775426815.4631417,3330,21.0
1775426879.5341196,3331,20.0
1775426930.065824,3332,12.0
1775426981.14477,3333,14.0
1775427047.1832623,3334,19.0
1775427101.9279337,3335,21.0
1775427155.7423034,3336,17.0
1775427210.2377553,3337,21.0
1775427254.5721736,3338,13.0
1775427304.853458,3339,21.0
1775427349.673903,3340,21.0
1775429748.0348368,3341,21.0
1775429805.6868498,3342,21.0
1775429865.1211798,3343,21.0
1775429919.0352843,3344,21.0
1775429993.2860856,3345,21.0
1775430051.2673109,3346,16.0
1775430117.6325467,3347,21.0
1775430182.0720294,3348,21.0
1775430234.8632407,3349,11.0
1775430297.0577877,3350,21.0
1775430357.657184,3351,15.0
1775430398.1367056,3352,21.0
1775430470.880935,3353,21.0
1775430529.472112,3354,16.0
1775430586.7235172,3355,21.0
1775430643.8863142,3356,13.0
1775430698.2974954,3357,21.0
1775430760.7531312,3358,20.0
1775430830.876718,3359,21.0
1775430899.029386,3360,18.0
1775430956.843521,3361,21.0
1775431031.2095134,3362,21.0
1775431100.9536965,3363,21.0
1775431160.2150092,3364,21.0
1775431204.8084064,3365,21.0
1775431261.6030405,3366,21.0
1775431327.7812982,3367,21.0
1775431383.31117,3368,21.0
1775431451.3767483,3369,21.0
1775431511.9401681,3370,19.0
1775431567.6685855,3371,21.0
1775431628.3690398,3372,18.0
1775431682.269182,3373,21.0
1775431744.8720622,3374,19.0
1775431791.3260117,3375,12.0
1775431843.593984,3376,20.0
1775431904.8190885,3377,16.0
1775431965.6338463,3378,17.0
1775432009.6393023,3379,9.0
1775432069.4955523,3380,19.0
1775432119.9800549,3381,14.0
1775432173.1301239,3382,13.0
1775432231.0706904,3383,19.0
1775432291.853851,3384,21.0
1775432350.6679218,3385,21.0
1775432410.3831475,3386,20.0
1775432467.511043,3387,16.0
1775432532.185749,3388,20.0
1775432590.4473228,3389,17.0
1775432642.0485704,3390,10.0
1775432692.185345,3391,13.0
1775432749.4863598,3392,16.0
1775432816.3314128,3393,19.0
1775432871.4222736,3394,18.0
1775432931.877328,3395,21.0
1775432989.896067,3396,21.0
1775433053.4508278,3397,18.0
1775433105.8228369,3398,21.0
1775433162.0842986,3399,15.0
1775433218.9854448,3400,16.0
1775433270.3257508,3401,16.0
1775433323.5117857,3402,17.0
1775433380.9573798,3403,15.0
1775433441.0008726,3404,20.0
1775433485.8278146,3405,13.0
1775433525.2301784,3406,9.0
1775433571.6662219,3407,12.0
1775433616.9893174,3408,12.0
1775433655.7456727,3409,11.0
1775433681.1314101,3410,4.0
1775433738.534628,3411,21.0
1775433788.054837,3412,15.0
1775433831.79589,3413,12.0
1775433887.0673702,3414,15.0
1775433942.517508,3415,17.0
1775433986.316815,3416,12.0
1775434045.8867261,3417,19.0
1775434092.9635115,3418,14.0
1775434142.937784,3419,13.0
1775434198.5745046,3420,20.0
1775434252.5536551,3421,17.0
1775434296.0006337,3422,11.0
1775434334.5509293,3423,11.0
1775434372.5505788,3424,8.0
1775434408.9587882,3425,9.0
1775434446.9763782,3426,7.0
1775434490.5274975,3427,12.0
1775434536.6400363,3428,13.0
1775434587.442643,3429,11.0
1775434639.7656298,3430,15.0
1775434689.0957146,3431,14.0
1775434728.0519998,3432,8.0
1775434783.4806075,3433,16.0
1775434835.4161475,3434,15.0
1775434885.660091,3435,16.0
1775434940.199022,3436,16.0
1775434986.9102168,3437,14.0
1775435025.030165,3438,9.0
1775435080.685977,3439,16.0
1775435128.6988864,3440,13.0
1775435181.70235,3441,17.0
1775435236.673048,3442,15.0
1775435304.3197942,3443,21.0
1775435352.0848968,3444,21.0
1775435406.306074,3445,21.0
1775435457.3308704,3446,17.0
1775435509.5240085,3447,21.0
1775435566.5356002,3448,21.0
1775435629.4310143,3449,21.0
1775435685.2620087,3450,21.0
1775435740.5944448,3451,21.0
1775435799.002716,3452,21.0
1775435859.7155976,3453,21.0
1775435919.1415753,3454,19.0
1775435975.134125,3455,21.0
1775436018.1340127,3456,21.0
1775436092.5909386,3457,21.0
1775436150.576015,3458,21.0
1775436212.6699488,3459,21.0
1775436284.3592772,3460,21.0
1775438337.9805186,3461,15.0
1775438395.8179958,3462,21.0
1775438468.1721482,3463,21.0
1775438540.1769302,3464,21.0
1775438612.7711446,3465,18.0
1775438669.84512,3466,21.0
1775438731.698554,3467,21.0
